Experience,Qualifications,Work Type,Job Title,Role,skills,Responsibilities
2 to 12 Years,MCA,Temporary,Supply Chain Manager,Demand Planner,Demand forecasting Inventory management Data analysis Sales and operations planning (S&OP) ERP software proficiency,Analyze demand patterns and market trends to forecast product demand. Collaborate with production and sales teams to optimize inventory levels. Implement demand planning and forecasting tools.
4 to 13 Years,BBA,Temporary,Environmental Engineer,Environmental Consultant,Environmental assessments Regulatory compliance Environmental impact analysis,"Provide expertise on environmental regulations, assessments, and compliance. Conduct environmental impact assessments. Develop and implement environmental management plans."
2 to 13 Years,B.Com,Contract,UI Developer,UX/UI Designer,User experience (UX) design User interface (UI) design Wireframing and prototyping Usability testing Design tools like Sketch or Figma,"Design user interfaces and experiences, focusing on usability and user-centered design principles. Create wireframes and prototypes. Conduct user testing and gather feedback for design improvements."
1 to 10 Years,BA,Intern,UX/UI Designer,User Interface Designer,"UI design principles and best practices Graphic design tools (e.g., Adobe Photoshop, Illustrator) Typography and color theory Visual design and layout Responsive design",Create visually appealing user interfaces (UI) that align with brand aesthetics and enhance user engagement. Design interface elements and interactive components. Ensure UI consistency across digital platforms.
5 to 15 Years,BCA,Full-Time,UX/UI Designer,Interaction Designer,Interaction design principles User behavior and psychology Wireframing and prototyping tools Animation and micro-interaction design Collaborative design processes,"Work on interaction design, defining how users interact with digital products and ensuring a seamless user journey. Create wireframes and prototypes to illustrate interactions. Collaborate with developers to implement interaction designs."
3 to 13 Years,M.Com,Contract,Systems Administrator,IT Support Specialist,Technical troubleshooting Hardware and software support Customer service Problem-solving Communication,"Provide technical support to end-users, troubleshoot hardware and software issues, and resolve IT-related problems. Install and configure computer systems and software. Maintain IT documentation and knowledge base."
2 to 8 Years,BA,Intern,Marketing Specialist,Content Marketing Manager,Content strategy Content creation Blog management Content promotion SEO Analytics and reporting,Create and curate engaging and relevant content for various marketing materials and platforms. Develop content calendars and distribution strategies. Measure and report content marketing success.
2 to 11 Years,BBA,Temporary,Marketing Specialist,Digital Marketing Specialist,Digital marketing strategy Social media marketing Content creation SEO (Search Engine Optimization) PPC advertising Analytics and reporting,"Develop and implement digital marketing campaigns across various channels, including SEO, SEM, and social media. Analyze campaign performance and adjust strategies for optimization. Manage digital advertising budgets."
4 to 11 Years,B.Tech,Contract,Technical Writer,Documentation Specialist,Document management Recordkeeping Attention to detail Data entry Organizational skills,"Create technical documentation, manuals, and user guides for software, hardware, or products. Collaborate with subject matter experts and engineers. Ensure documentation accuracy and clarity."
1 to 13 Years,PhD,Part-Time,Customer Service Manager,Service Quality Assurance Manager,Quality assurance Quality control Process improvement Audit procedures Compliance standards Root cause analysis,Ensure service quality and consistency by defining and implementing QA standards and processes. Conduct regular quality audits and provide feedback to the team. Identify areas for improvement and training.
0 to 14 Years,MCA,Full-Time,Product Manager,Agile Product Owner,Agile product development Scrum or Kanban frameworks Backlog management User story writing Prioritization techniques Collaboration with development teams Product vision and strategy,"Act as the product owner in agile development, making critical decisions and ensuring product goals are met. Maintain and prioritize the product backlog. Communicate with stakeholders and development teams."
3 to 8 Years,BBA,Contract,Event Planner,Event Coordinator,Event planning Vendor coordination Budget management Marketing and promotion Logistics,"Plan and coordinate events, including logistics, vendor management, and timelines. Communicate with clients to understand event goals and preferences. Ensure smooth event execution."
1 to 14 Years,B.Tech,Temporary,Structural Engineer,Design Engineer,Engineering design CAD software proficiency Problem-solving Technical knowledge Communication skills,Design structural systems and components for buildings and infrastructure projects. Perform structural analysis and calculations. Create detailed design plans and specifications.
3 to 14 Years,M.Com,Temporary,Registered Nurse,Clinical Nurse Specialist,"Clinical nursing specialization (e.g., critical care, oncology) Advanced nursing skills Patient education","Specialize in a specific area of patient care, such as pediatrics or oncology. Provide expert clinical guidance and education to healthcare staff. Contribute to evidence-based practice and quality improvement."
5 to 8 Years,M.Com,Contract,UX Researcher,User Researcher,User research methods Usability testing Data analysis and interpretation,"Conduct user research to understand user behavior, needs, and preferences. Plan and execute user interviews, surveys, and usability studies. Analyze research findings and generate insights."
1 to 9 Years,MBA,Full-Time,Structural Engineer,Design Engineer,Engineering design CAD software proficiency Problem-solving Technical knowledge Communication skills,Design structural systems and components for buildings and infrastructure projects. Perform structural analysis and calculations. Create detailed design plans and specifications.
4 to 14 Years,MCA,Part-Time,Electrical Designer,Lighting Designer,Lighting design Architectural lighting Lighting software proficiency Creative lighting concepts Technical knowledge,"Specialize in lighting design, creating lighting plans for interiors and exteriors. Select lighting fixtures and systems. Enhance visual appeal and energy efficiency through lighting design."
3 to 15 Years,B.Com,Contract,Procurement Manager,Procurement Analyst,Procurement processes Vendor assessment Contract negotiation Purchase order management Spend analysis Market research Supplier relationship management Data analysis Problem-solving Attention to detail Communication skills Financial acumen,Analyze procurement data and trends to support decision-making. Conduct supplier evaluations and performance assessments. Assist in procurement planning and forecasting.
0 to 14 Years,BBA,Full-Time,Sales Representative,Inside Sales Representative,"Sales prospecting and lead generation Sales presentation and communication CRM software (e.g., Salesforce) Sales negotiation and closing techniques Product knowledge Relationship building","Identify and qualify sales leads, conduct sales presentations, and close deals through phone and email. Maintain accurate sales records and reports. Provide excellent customer service throughout the sales process."
0 to 14 Years,M.Tech,Contract,Account Manager,Client Relationship Manager,Client relationship management Customer service Communication skills,Build and nurture strong client relationships. Understand client needs and objectives. Serve as the main point of contact for client communication.
1 to 9 Years,B.Com,Part-Time,Architectural Designer,Architectural Drafter,Architectural drafting AutoCAD 2D and 3D modeling Blueprint reading Building codes Collaboration with architects Detail-oriented,Prepare detailed architectural drawings and plans using computer-aided design (CAD) software. Assist architects in project documentation and coordination. Ensure compliance with building codes and regulations.
5 to 14 Years,B.Tech,Part-Time,QA Analyst,Performance Testing Specialist,Performance testing Load testing Stress testing Test scenarios Performance monitoring Benchmarking Performance analysis,Focus on performance and load testing to assess the scalability and responsiveness of software applications. Identify bottlenecks and optimize application performance. Generate performance test reports and recommendations.
3 to 10 Years,BCA,Contract,Environmental Engineer,Environmental Consultant,Environmental assessments Regulatory compliance Environmental impact analysis,"Provide expertise on environmental regulations, assessments, and compliance. Conduct environmental impact assessments. Develop and implement environmental management plans."
2 to 14 Years,M.Com,Part-Time,Nurse Manager,Clinical Nurse Manager,Clinical nursing Patient assessment Care planning Staff development Healthcare protocols Communication skills Problem-solving abilities,Manage clinical nursing teams in hospitals or medical facilities. Supervise patient care and treatment plans. Monitor patient outcomes and quality of care.
1 to 14 Years,M.Tech,Full-Time,Front-End Developer,Web Designer,"Web design concepts Graphic design software (e.g., Adobe Creative Suite) HTML and CSS Responsive design User interface (UI) principles Visual communication Typography Color theory Creativity Attention to detail Collaboration","Focus on the visual design of websites, including layout, typography, and color schemes. Create custom graphics and illustrations. Ensure responsive and mobile-friendly designs."
2 to 11 Years,B.Com,Part-Time,Customer Service Manager,Customer Experience Strategist,Customer experience strategy Customer journey mapping Feedback analysis User research Metrics and KPIs Communication skills,Develop and execute customer experience strategies to improve satisfaction and loyalty. Gather and analyze customer feedback. Collaborate with cross-functional teams to enhance the customer journey.
2 to 15 Years,PhD,Contract,Inventory Analyst,Inventory Control Specialist,Inventory management Stock control Demand forecasting Inventory tracking systems Supply chain coordination Problem-solving skills,"Manage inventory levels, track stock movements, and optimize inventory turnover. Conduct regular inventory counts and reconcile discrepancies. Ensure accurate and efficient inventory management."
4 to 9 Years,B.Com,Contract,Web Developer,Full-Stack Developer,Frontend and backend development Database integration Problem-solving API knowledge,"Work on both frontend and backend aspects, creating full-stack solutions for web development. Integrate third-party APIs and services. Troubleshoot and debug web applications."
1 to 15 Years,M.Com,Contract,Architect,Sustainable Design Specialist,Sustainable design principles Energy efficiency LEED certification Green building materials Environmental impact assessment,Focus on sustainable and eco-friendly architectural practices. Integrate green building technologies and materials into architectural designs. Advise on energy-efficient building solutions.
4 to 12 Years,BA,Part-Time,Systems Administrator,IT Support Specialist,Technical troubleshooting Hardware and software support Customer service Problem-solving Communication,"Provide technical support to end-users, troubleshoot hardware and software issues, and resolve IT-related problems. Install and configure computer systems and software. Maintain IT documentation and knowledge base."
1 to 11 Years,BA,Temporary,Procurement Coordinator,Purchasing Coordinator,Procurement Supplier management Negotiation Supply chain management Inventory control Vendor relations,"Coordinate purchasing activities, including vendor sourcing and negotiation. Create purchase orders and track deliveries. Ensure cost-effective procurement."
4 to 12 Years,MCA,Contract,Web Developer,Backend Web Developer,"Server-side programming (e.g., Node.js, Python) Database management (e.g., SQL, MongoDB)",Develop server-side logic and databases to support web applications. Optimize application performance and security. Implement RESTful APIs for data retrieval and manipulation.
5 to 13 Years,BCA,Part-Time,Network Technician,Network Support Specialist,Network troubleshooting IT support Network configuration Technical knowledge Problem-solving,"Provide technical support for network issues, resolving connectivity and configuration problems. Collaborate with end-users to troubleshoot network-related challenges. Document network configurations and issues."
1 to 8 Years,BA,Contract,Network Security Specialist,Security Operations Center (SOC) Analyst,"SOC operations Security incident response Threat detection Log analysis Security tools (e.g., IDS/IPS) Security alerts triage",Work in SOC teams to monitor and respond to security incidents. Investigate and analyze security alerts and incidents. Maintain security documentation and incident reports.
5 to 10 Years,M.Tech,Full-Time,Architectural Designer,Architectural Drafter,Architectural drafting AutoCAD 2D and 3D modeling Blueprint reading Building codes Collaboration with architects Detail-oriented,Prepare detailed architectural drawings and plans using computer-aided design (CAD) software. Assist architects in project documentation and coordination. Ensure compliance with building codes and regulations.
3 to 10 Years,BCA,Full-Time,Aerospace Engineer,Avionics Engineer,Avionics systems Electronic warfare systems Radar systems Aircraft communication systems System integration Testing and validation,"Specialize in avionics systems, including navigation and communication systems. Develop avionics software and ensure system functionality. Perform system testing and troubleshooting."
5 to 8 Years,BA,Temporary,IT Administrator,System Administrator,System administration Network administration Troubleshooting Security management Server maintenance Backup and recovery,Manage and maintain computer systems and servers. Install and configure software and hardware. Monitor system performance and security.
0 to 13 Years,PhD,Full-Time,Customer Support Specialist,Customer Success Manager,Customer relationship management Onboarding and training Customer feedback analysis Retention strategies Cross-selling and upselling Strong communication and empathy Customer advocacy,"Build and maintain strong customer relationships, ensuring customer satisfaction and retention. Identify opportunities to upsell or cross-sell products or services. Gather and relay customer feedback to improve products."
5 to 9 Years,B.Tech,Part-Time,Administrative Assistant,Executive Assistant,"Calendar management Travel coordination Meeting scheduling Correspondence and communication Office organization Confidentiality Time management Problem-solving Attention to detail Communication skills Technology proficiency (e.g., MS Office)","Provide high-level administrative support to executives, including managing schedules and communications. Coordinate meetings and travel arrangements. Handle confidential information with discretion."
5 to 10 Years,B.Com,Temporary,Supply Chain Manager,Demand Planner,Demand forecasting Inventory management Data analysis Sales and operations planning (S&OP) ERP software proficiency,Analyze demand patterns and market trends to forecast product demand. Collaborate with production and sales teams to optimize inventory levels. Implement demand planning and forecasting tools.
5 to 15 Years,M.Tech,Full-Time,Back-End Developer,Server Developer,"Server-side programming languages (e.g., Java, Python) Database management API development",Develop and maintain server-side logic and databases for web applications. Optimize server performance and scalability. Collaborate with front-end developers to integrate user interfaces.
2 to 10 Years,BCA,Contract,Marketing Specialist,Content Marketing Manager,Content strategy Content creation Blog management Content promotion SEO Analytics and reporting,Create and curate engaging and relevant content for various marketing materials and platforms. Develop content calendars and distribution strategies. Measure and report content marketing success.
2 to 11 Years,B.Com,Part-Time,Occupational Therapist,Geriatric Occupational Therapist,"Geriatric assessment and evaluation Geriatric-specific occupational therapy techniques Aging-related conditions (e.g., dementia, arthritis) Fall prevention strategies Care coordination with healthcare teams Assistive technology for seniors Patient advocacy Empathy and compassion Communication skills","Focus on older adults, helping them regain independence and adapt to age-related challenges. Conduct assessments and recommend assistive devices. Enhance quality of life through therapy interventions."
2 to 12 Years,B.Com,Part-Time,Public Relations Specialist,Brand PR Specialist,Brand management Public relations Brand storytelling Influencer marketing Media monitoring,Promote and protect the brands image and reputation. Develop PR campaigns and brand messaging. Monitor and analyze PR campaign performance.
1 to 8 Years,MBA,Temporary,Interior Designer,Hospitality Interior Designer,"Hospitality interior design Hotel and restaurant design Branding and theme integration FF&E (furniture, fixtures, and equipment) selection Customer experience design","Specialize in designing interiors for hotels, resorts, and hospitality establishments. Create guest-friendly and visually appealing environments. Select furnishings and decor to enhance the guest experience."
4 to 14 Years,MCA,Part-Time,Procurement Manager,Procurement Analyst,Procurement processes Vendor assessment Contract negotiation Purchase order management Spend analysis Market research Supplier relationship management Data analysis Problem-solving Attention to detail Communication skills Financial acumen,Analyze procurement data and trends to support decision-making. Conduct supplier evaluations and performance assessments. Assist in procurement planning and forecasting.
0 to 15 Years,MCA,Intern,Project Coordinator,Project Manager,Project planning and scheduling Budget management Risk assessment and mitigation Stakeholder communication Agile or Waterfall methodologies,"Assist in project planning, execution, and monitoring. Coordinate project tasks and timelines. Communicate with project stakeholders and team members."
4 to 14 Years,B.Com,Temporary,Structural Engineer,Design Engineer,Engineering design CAD software proficiency Problem-solving Technical knowledge Communication skills,Design structural systems and components for buildings and infrastructure projects. Perform structural analysis and calculations. Create detailed design plans and specifications.
2 to 11 Years,MBA,Full-Time,Customer Success Manager,Onboarding Specialist,Onboarding process management New employee orientation Training and development HR policies and procedures Employee engagement strategies,"Facilitate the onboarding process for new customers, ensuring a smooth transition. Educate clients on product features and best practices. Provide training and resources for successful adoption."
3 to 12 Years,BCA,Intern,Marketing Specialist,Marketing Analytics Specialist,Marketing analytics Data analysis Data visualization Market research Google Analytics Marketing automation Reporting tools,Analyze marketing data and generate insights to drive decision-making. Use tools like Google Analytics and marketing automation platforms. Report on key performance metrics and ROI.
4 to 10 Years,B.Com,Full-Time,Marketing Director,Brand Director,Brand strategy Brand development Creative direction Brand management Market research,"Manage and strengthen brand identity, ensuring consistent messaging and visual identity. Develop brand campaigns and positioning. Monitor brand performance and reputation."
5 to 15 Years,M.Tech,Part-Time,Supply Chain Manager,Logistics Manager,Supply chain management Inventory control Transportation logistics Vendor relations Team leadership and management,"Manage the transportation and distribution of goods. Optimize supply chain efficiency, reduce costs, and minimize delivery times. Monitor inventory levels and warehouse operations."
2 to 15 Years,MCA,Full-Time,Event Manager,Conference Manager,Event planning Conference logistics Budget management Vendor coordination Marketing and promotion Client relations,"Specialize in conference and convention planning. Coordinate speaker sessions, exhibitors, and attendee experiences. Oversee event registration and marketing."
2 to 15 Years,M.Com,Contract,Financial Planner,Tax Planner,Tax planning strategies Tax law knowledge Financial analysis Retirement planning Estate planning Client relationship management Tax optimization Communication skills Attention to detail Tax software proficiency Regulatory compliance,"Focus on tax planning and optimization, helping clients minimize tax liabilities. Stay updated on tax laws and regulations. Provide tax-efficient financial strategies."
5 to 13 Years,B.Com,Temporary,Legal Advisor,Legal Counsel,Legal counsel Legal advice Contract negotiation Legal research Litigation support Client representation Legal writing Regulatory compliance,"Provide legal advice and counsel to individuals, businesses, or organizations on various legal matters. Draft legal documents, contracts, and agreements. Represent clients in negotiations and legal proceedings."
3 to 13 Years,MBA,Intern,Architect,Architectural Designer,"Architectural design software (e.g., AutoCAD, Revit) Building codes and regulations 3D modeling Visualization Sustainable design",Design architectural plans and layouts for buildings and structures. Create detailed drawings and blueprints. Ensure designs comply with building codes and regulations.
4 to 12 Years,BA,Temporary,Database Administrator,Database Analyst,Data analysis Database querying and reporting Data visualization SQL proficiency Data quality assurance,"Analyze and interpret database performance data, identifying areas for improvement. Troubleshoot database issues and optimize query performance. Generate reports and insights from database data."
4 to 8 Years,M.Tech,Part-Time,SEO Specialist,SEO Analyst,"Search engine optimization Keyword research SEO tools (e.g., Google Analytics, SEMrush) On-page and off-page optimization","Conduct keyword research, on-page and off-page SEO optimization, and website audits. Monitor search engine rankings and website traffic. Generate SEO reports and recommendations."
2 to 13 Years,M.Tech,Temporary,Sales Representative,Account Executive,Sales strategy and planning Account management Customer relationship management Solution selling Sales forecasting Contract negotiation Sales metrics and reporting,"Manage client accounts, negotiate contracts, and achieve revenue targets by selling products or services. Provide ongoing support and solutions to clients. Collaborate with cross-functional teams to meet client needs."
4 to 13 Years,M.Com,Full-Time,Financial Analyst,Budget Analyst,Budget planning Financial forecasting Excel proficiency Data analysis,"Develop and manage budgets, track financial performance, and prepare financial reports. Collaborate with department heads to create and monitor budget plans. Identify cost-saving opportunities."
4 to 12 Years,BBA,Contract,Financial Controller,Accounting Controller,"Accounting Financial reporting Financial audits Tax compliance Accounting software (e.g., SAP, Oracle) GAAP (Generally Accepted Accounting Principles)","Manage accounting functions, including accounts payable and receivable, payroll, and financial statement preparation. Conduct financial analysis and forecasting. Coordinate audits and tax filings."
0 to 10 Years,MBA,Contract,Administrative Assistant,Executive Assistant,"Calendar management Travel coordination Meeting scheduling Correspondence and communication Office organization Confidentiality Time management Problem-solving Attention to detail Communication skills Technology proficiency (e.g., MS Office)","Provide high-level administrative support to executives, including managing schedules and communications. Coordinate meetings and travel arrangements. Handle confidential information with discretion."
0 to 10 Years,PhD,Intern,Customer Support Specialist,Customer Success Manager,Customer relationship management Onboarding and training Customer feedback analysis Retention strategies Cross-selling and upselling Strong communication and empathy Customer advocacy,"Build and maintain strong customer relationships, ensuring customer satisfaction and retention. Identify opportunities to upsell or cross-sell products or services. Gather and relay customer feedback to improve products."
2 to 9 Years,B.Tech,Intern,Human Resources Manager,Employee Relations Specialist,Employee conflict resolution HR compliance Employee engagement Communication skills,"Address employee concerns, resolve conflicts, and implement HR policies and programs to foster a positive work environment. Conduct investigations and recommend corrective actions. Promote employee engagement and satisfaction."
5 to 8 Years,M.Tech,Intern,Data Engineer,ETL Developer,"ETL (Extract, Transform, Load) processes Data integration SQL and scripting languages","Extract, transform, and load (ETL) data from various sources into data warehouses. Create ETL workflows and data pipelines. Perform data validation and quality checks."
2 to 11 Years,MCA,Part-Time,Front-End Developer,UI/UX Developer,"User interface (UI) design User experience (UX) design Web design principles Prototyping and wireframing Front-end development languages (e.g., HTML, CSS, JavaScript) Interaction design User testing Responsive design Usability testing Collaboration Attention to detail",Design and implement user interfaces (UI) for websites and web applications. Create intuitive and visually appealing UI elements. Collaborate with UX designers to optimize user experiences.
5 to 10 Years,M.Tech,Temporary,Copywriter,SEO Copywriter,"SEO (Search Engine Optimization) Keyword research SEO-friendly content On-page optimization Meta tags SEO tools (e.g., SEMrush)","Write web content optimized for search engines (SEO), including blog posts, product descriptions, and meta tags. Conduct keyword research and on-page SEO optimization. Monitor SEO rankings and traffic."
0 to 13 Years,BA,Contract,Human Resources Manager,Talent Acquisition Manager,Talent sourcing Interviewing Onboarding Recruitment strategies HR software,"Lead talent acquisition efforts, including sourcing, interviewing, and onboarding new employees. Collaborate with hiring managers to define job requirements. Develop and implement recruitment strategies."
0 to 9 Years,B.Com,Full-Time,Electrical Engineer,Power Systems Engineer,Electrical engineering Power system analysis Renewable energy systems Control systems Safety regulations,"Design and analyze electrical power systems, including transmission and distribution networks. Perform load flow analysis and ensure grid reliability. Implement energy efficiency solutions."
0 to 10 Years,BCA,Contract,Systems Analyst,Business Systems Analyst,Business systems analysis Requirements gathering Process improvement,Focus on improving business processes through technology solutions. Conduct business process modeling and workflow analysis. Facilitate communication between business and IT stakeholders.
2 to 9 Years,BCA,Intern,Litigation Attorney,Corporate Litigator,Corporate law Commercial litigation Dispute resolution Contract law Legal strategy Negotiation,"Focus on corporate legal matters, including contracts, disputes, and compliance. Provide legal counsel to businesses and organizations. Handle litigation involving corporate interests."
0 to 9 Years,M.Tech,Intern,Finance Manager,Accounting Manager,Accounting principles Financial reporting Team management Budgeting Financial analysis,"Manage accounting functions, including financial reporting and compliance. Ensure accurate and timely financial statements. Oversee audits and tax filings."
5 to 15 Years,MCA,Full-Time,Web Designer,Frontend Web Designer,Frontend web development HTML/CSS Responsive design User interface (UI) design Adobe Creative Suite Collaboration skills,"Create visually appealing and responsive web designs using HTML, CSS, and JavaScript. Ensure cross-browser compatibility. Optimize web performance and page load times."
3 to 12 Years,BBA,Contract,Legal Counsel,Intellectual Property Lawyer,Intellectual property law Trademark and patent law Copyright law IP portfolio management Litigation and dispute resolution,"Protect and manage intellectual property rights, trademarks, patents, and copyrights. Conduct IP due diligence and trademark searches. Handle IP disputes and enforcement."
1 to 14 Years,BA,Contract,Pediatrician,Pediatric Specialist,"Pediatric specialization Advanced pediatric care Pediatric subspecialty (e.g., pediatric cardiology, pediatric oncology) Pediatric diagnostics Pediatric treatment","Specialize in a specific area of pediatric medicine, such as cardiology or neurology. Diagnose and treat complex medical conditions in children. Collaborate with other specialists for comprehensive care."
3 to 14 Years,M.Tech,Temporary,UI Developer,UX/UI Designer,User experience (UX) design User interface (UI) design Wireframing and prototyping Usability testing Design tools like Sketch or Figma,"Design user interfaces and experiences, focusing on usability and user-centered design principles. Create wireframes and prototypes. Conduct user testing and gather feedback for design improvements."
4 to 12 Years,BA,Full-Time,Dental Hygienist,Dental Hygiene Educator,Dental hygiene knowledge Teaching and instructional skills Curriculum development Student assessment Clinical practice experience,Educate patients on oral hygiene practices and preventive care. Provide oral health instruction and advice. Develop and deliver educational programs.
1 to 11 Years,BCA,Part-Time,UX/UI Designer,User Experience Designer,"User-centered design principles UX/UI design tools (e.g., Sketch, Adobe XD) Wireframing and prototyping Usability testing and user research Information architecture and user flows",Design and improve user experiences (UX) by creating intuitive and user-friendly interfaces for websites and applications. Conduct user research and usability testing. Collaborate with stakeholders to gather and incorporate feedback.
5 to 13 Years,M.Tech,Intern,Purchasing Agent,Procurement Specialist,Negotiation skills Vendor management Supply chain knowledge Contract management Analytical skills,"Procure goods and services for organizations, following procurement policies and procedures. Evaluate supplier bids and negotiate contracts. Maintain supplier relationships."
5 to 13 Years,MCA,Part-Time,Social Worker,Mental Health Counselor,Counseling techniques Psychotherapy Mental health assessment Treatment planning Crisis intervention Ethical standards Empathy and active listening Cultural competence Documentation Communication skills Self-care Licensing and certification,Offer mental health counseling and therapy to individuals and groups. Diagnose and treat mental health conditions. Develop treatment plans and monitor progress.
4 to 9 Years,BBA,Full-Time,Marketing Director,Marketing Communications Director,Marketing communication Public relations Content strategy Crisis management Media relations,"Lead marketing communications efforts, including public relations and content marketing. Create marketing collateral and press releases. Manage media relations and crisis communications."
1 to 13 Years,BBA,Temporary,Substance Abuse Counselor,Recovery Coach,Addiction recovery support Motivational interviewing Relapse prevention strategies,Offer ongoing support and guidance to individuals in recovery. Assist with relapse prevention strategies and coping skills. Foster a supportive and empathetic relationship.
3 to 8 Years,M.Com,Temporary,Architectural Designer,Interior Designer,"Interior design Space planning Color theory Material selection CAD software (e.g., SketchUp) Client collaboration Budget management","Focus on interior spaces, selecting finishes, furnishings, and color schemes. Create interior design concepts and mood boards. Collaborate with architects and contractors on design integration."
5 to 14 Years,BBA,Part-Time,Research Scientist,Senior Researcher,"Research methodologies and data analysis Literature review and synthesis Statistical analysis software (e.g., SPSS, R) Research proposal development Strong communication and reporting skills","Plan and conduct scientific research projects, including experimental design and data analysis. Collaborate with cross-functional teams and provide technical expertise. Publish research findings in peer-reviewed journals."
1 to 9 Years,BA,Contract,Nurse Practitioner,Family Nurse Practitioner,Family medicine Health assessment Pediatric care Chronic disease management Patient education,"Focus on family-centered care, providing healthcare services to individuals and families of all ages. Perform physical exams, order diagnostic tests, and manage chronic conditions. Promote health and wellness."
3 to 10 Years,M.Tech,Contract,Customer Service Manager,Customer Support Manager,Customer support Team leadership Customer satisfaction Issue resolution Performance metrics Training and development,"Oversee the customer support team, including hiring, training, and performance management. Set and monitor customer service KPIs and targets. Handle escalated customer issues and resolutions."
5 to 15 Years,MBA,Part-Time,Business Analyst,Data Business Analyst,"Data analysis Data modeling Data visualization SQL Data tools (e.g., Tableau)","Focus on data analysis, data modeling, and data visualization to support business decision-making. Develop and maintain data dictionaries and metadata. Collaborate with data engineers and analysts."
5 to 9 Years,B.Tech,Part-Time,Architectural Designer,Interior Designer,"Interior design Space planning Color theory Material selection CAD software (e.g., SketchUp) Client collaboration Budget management","Focus on interior spaces, selecting finishes, furnishings, and color schemes. Create interior design concepts and mood boards. Collaborate with architects and contractors on design integration."
0 to 15 Years,MBA,Contract,Financial Analyst,Financial Planner,Financial planning Investment strategy Retirement planning Tax knowledge,"Assist clients with financial planning, investment strategies, and retirement planning. Conduct comprehensive financial assessments. Provide personalized financial advice and recommendations."
4 to 15 Years,MBA,Temporary,Speech Therapist,Adult Speech Therapist,Adult speech therapy Speech-language assessment Rehabilitation techniques Swallowing disorders Communication skills,"Focus on speech and language therapy for adults with communication challenges. Address speech disorders, aphasia, and swallowing difficulties. Customize therapy plans for individual needs."
5 to 11 Years,B.Tech,Full-Time,Data Analyst,Data Scientist,"Machine learning algorithms and libraries (e.g., scikit-learn, TensorFlow, PyTorch) Statistical analysis and modeling Data preprocessing and cleaning Big data technologies (e.g., Hadoop, Spark) Data visualization Strong programming skills (Python, R)",Apply machine learning algorithms and statistical techniques to extract insights from large datasets. Develop predictive models. Conduct data experiments and A/B testing.
4 to 11 Years,PhD,Contract,Data Engineer,Big Data Engineer,"Big data technologies (Hadoop, Spark, etc.) Data processing and analysis Distributed computing","Work with large and complex datasets, using technologies like Hadoop and Spark. Develop and maintain big data solutions. Optimize data processing and storage for performance."
5 to 9 Years,MBA,Temporary,Environmental Consultant,Sustainability Consultant,Sustainability consulting Sustainability assessments Sustainable practices Green building standards Environmental policies Client communication,"Focus on sustainable practices and initiatives, advising clients on reducing their environmental footprint. Develop sustainability plans and strategies. Conduct sustainability audits and reporting."
2 to 13 Years,M.Com,Part-Time,Mechanical Designer,CAD Technician,Computer-aided design (CAD) software Technical drawing Blueprint interpretation Drafting standards Engineering principles Collaboration with engineers Problem-solving Attention to detail Communication skills 3D modeling (if applicable),Use computer-aided design (CAD) software to create and revise technical drawings. Ensure drawings comply with industry standards. Support design projects with technical expertise.
2 to 10 Years,B.Tech,Intern,Project Manager,Agile Project Manager,"Agile methodologies Scrum or Kanban Team collaboration Agile tools (e.g., Jira)","Facilitate agile project development, collaborate with cross-functional teams, and manage project backlogs and sprints. Coach and mentor team members on agile practices. Drive continuous improvement of agile processes."
4 to 11 Years,M.Com,Part-Time,Legal Assistant,Paralegal,"Legal research Document drafting Case management E-filing Legal databases (e.g., LexisNexis) Client communication Deposition preparation Trial support Ethics and confidentiality Attention to detail Communication skills Legal software proficiency","Assist lawyers in legal research, document preparation, and case management. Draft legal documents and pleadings. Organize and maintain case files."
5 to 15 Years,B.Com,Full-Time,Occupational Therapist,Mental Health Occupational Therapist,Mental health assessment and evaluation Psychotherapy techniques Cognitive-behavioral therapy (CBT) Trauma-informed care Crisis intervention Substance abuse treatment Group therapy Cultural competence Ethical standards and boundaries Active listening skills,"Work with individuals facing mental health issues, helping them develop coping skills and daily routines. Conduct therapeutic activities and interventions. Collaborate with mental health professionals."
4 to 15 Years,BA,Intern,Quality Assurance Analyst,Quality Assurance Manager,Quality assurance processes and methodologies Quality metrics and KPIs Audit and compliance Team leadership and management Continuous improvement initiatives,"Lead the QA team, set quality standards, and define QA strategies. Ensure compliance with QA processes and industry standards. Conduct QA audits and drive process improvements."
5 to 15 Years,B.Com,Full-Time,Web Developer,Frontend Web Developer,"HTML, CSS, JavaScript Frontend frameworks (e.g., React, Angular) User experience (UX)","Design and code user interfaces for websites, ensuring a seamless and visually appealing user experience. Collaborate with UX designers to optimize user journeys. Ensure cross-browser compatibility and responsive design."
1 to 13 Years,B.Tech,Intern,Sales Associate,Retail Sales Associate,Customer service Sales techniques Product knowledge Cash handling Communication skills,"Assist customers in retail stores, answer questions, and provide product information. Process sales transactions and handle customer inquiries and returns. Maintain store displays and merchandising."
0 to 11 Years,M.Tech,Temporary,Financial Advisor,Investment Advisor,Investment strategies Portfolio management Financial planning Risk assessment Regulatory compliance,Provide investment advice and portfolio management services. Assess clients financial goals and risk tolerance. Monitor market trends and recommend investment strategies.
